,Activity Period,Operating Airline,Operating Airline IATA Code,GEO Region,Terminal,Boarding Area,Passenger Count,Year,Month,cluster,Activity Period,Operating Airline,GEO Region,Boarding Area,Passenger Count,Year,Month
51,200507,Independence Air,DH,US,International,A,10843,2005,July,0,200507,Independence Air,US,A,10843,2005,July
52,200507,Independence Air,DH,US,International,A,10967,2005,July,0,200507,Independence Air,US,A,10967,2005,July
53,200507,Japan Airlines,JL,Asia,International,A,9195,2005,July,0,200507,Japan Airlines,Asia,A,9195,2005,July
54,200507,Japan Airlines,JL,Asia,International,A,9086,2005,July,0,200507,Japan Airlines,Asia,A,9086,2005,July
55,200507,KLM Royal Dutch Airlines,KL,Europe,International,A,9978,2005,July,0,200507,KLM Royal Dutch Airlines,Europe,A,9978,2005,July
56,200507,KLM Royal Dutch Airlines,KL,Europe,International,A,9587,2005,July,0,200507,KLM Royal Dutch Airlines,Europe,A,9587,2005,July
57,200507,Korean Air Lines,KE,Asia,International,A,6153,2005,July,0,200507,Korean Air Lines,Asia,A,6153,2005,July
58,200507,Korean Air Lines,KE,Asia,International,A,5646,2005,July,0,200507,Korean Air Lines,Asia,A,5646,2005,July
59,200507,Lufthansa German Airlines,LH,Europe,International,G,22389,2005,July,0,200507,Lufthansa German Airlines,Europe,G,22389,2005,July
60,200507,Lufthansa German Airlines,LH,Europe,International,G,20511,2005,July,0,200507,Lufthansa German Airlines,Europe,G,20511,2005,July
61,200507,Mesa Airlines,YV,US,Terminal 1,B,2636,2005,July,0,200507,Mesa Airlines,US,B,2636,2005,July
62,200507,Mesa Airlines,YV,US,Terminal 1,B,2535,2005,July,0,200507,Mesa Airlines,US,B,2535,2005,July
63,200507,Mexicana Airlines,MX,Mexico,International,G,7751,2005,July,0,200507,Mexicana Airlines,Mexico,G,7751,2005,July
64,200507,Mexicana Airlines,MX,Mexico,International,G,7845,2005,July,0,200507,Mexicana Airlines,Mexico,G,7845,2005,July
65,200507,Midwest Airlines,YX,US,Terminal 1,A,1797,2005,July,0,200507,Midwest Airlines,US,A,1797,2005,July
66,200507,Midwest Airlines,YX,US,Terminal 1,A,3238,2005,July,0,200507,Midwest Airlines,US,A,3238,2005,July
67,200507,Northwest Airlines,NW,US,Terminal 1,C,64231,2005,July,1,200507,Northwest Airlines,US,C,44836,2005,July
68,200507,Northwest Airlines,NW,US,Terminal 1,C,62049,2005,July,1,200507,Northwest Airlines,US,C,44836,2005,July
69,200507,Northwest Airlines,NW,Asia,International,A,7229,2005,July,0,200507,Northwest Airlines,Asia,A,7229,2005,July
70,200507,Northwest Airlines,NW,Asia,International,A,6554,2005,July,0,200507,Northwest Airlines,Asia,A,6554,2005,July
71,200507,Philippine Airlines,PR,Asia,International,A,12828,2005,July,0,200507,Philippine Airlines,Asia,A,12828,2005,July
72,200507,Philippine Airlines,PR,Asia,International,A,10269,2005,July,0,200507,Philippine Airlines,Asia,A,10269,2005,July
73,200507,Singapore Airlines,SQ,Asia,International,G,19211,2005,July,0,200507,Singapore Airlines,Asia,G,19211,2005,July
74,200507,Singapore Airlines,SQ,Asia,International,G,17462,2005,July,0,200507,Singapore Airlines,Asia,G,17462,2005,July
